"country","arabica_robusta","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Guyana","(R)",NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,5,5,5,6,7,8,9,10,9,9,10,10,2,9,11,10,10,NA
"Honduras","(A)",1568,2322,1918,1829,2181,1909,2004,2564,2195,2985,2667,3036,2496,2968,2575,3204,3461,3640,3450,3603,4331,5882,4686,4583,5268,5786,7457,8349,NA
"India","(R/A)",2829,3000,2823,3533,3002,3717,3417,3805,4417,4867,5020,5010,4588,4508,4592,4567,4800,4367,4378,4827,5033,5233,5303,5075,5450,5800,5200,5840,NA
"Jamaica","(A)",23,39,26,34,45,43,54,47,29,38,37,31,37,37,21,34,40,20,32,25,21,24,24,20,21,20,18,17,NA
"Kenya","(A)",1485,1514,1316,1328,1663,1664,1247,882,1173,1502,1002,991,945,673,736,660,826,652,541,630,641,757,875,838,765,789,783,790,NA
"Lao, People's Dem. Rep. of","(R)",NA,NA,NA,NA,NA,NA,NA,NA,171,239,212,258,402,361,379,280,391,393,406,434,544,514,541,538,499,516,465,475,NA
"Liberia","(R)",3,3,3,5,5,5,5,5,18,12,12,12,12,5,6,5,7,7,12,13,10,10,10,6,7,10,12,12,NA
"Mexico","(A)",4674,4727,3401,5023,4159,5300,5110,4802,4801,6219,4815,4438,4351,4201,3867,4225,4200,4150,4651,4109,4001,4561,4327,3916,3591,2903,3781,4000,NA
"Nepal","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,3,2,1,1,2,2,1,2,NA
"Nicaragua","(A)",461,707,547,706,683,985,793,1084,1073,1554,1572,1079,1170,1509,1068,1432,1428,1906,1445,1871,1638,2193,1873,2060,1898,2133,2575,2500,NA
"Nigeria","(R)",29,44,49,45,52,53,46,45,53,45,49,44,50,46,45,69,51,42,50,34,42,47,41,41,43,41,43,42,NA
"Panama","(A)",215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,127,120,106,NA
"Sierra Leone","(R)",43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,46,38,43,NA
"Sri Lanka","(R)",96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,37,36,36,37,37,NA
"Thailand","(R/A)",757,1469,1255,1275,1399,1317,1404,1293,916,1273,1692,715,732,827,884,1064,822,650,675,795,828,831,608,638,845,762,538,500,NA
"Togo","(R)",161,433,86,195,176,84,291,221,321,263,197,112,68,144,166,140,134,125,138,202,160,160,84,172,143,81,22,55,NA
"Trinidad & Tobago","(R)",15,18,14,16,18,18,18,19,17,17,16,16,17,16,15,15,12,12,11,11,10,11,12,12,12,12,12,12,NA
"Uganda","(R/A)",1955,2088,2185,3142,2393,3244,3419,3440,3386,2862,3401,3158,2890,2599,2613,2175,2894,3490,3335,2894,3267,3115,3914,3633,3744,3650,4962,5100,NA
"Venezuela","(A)",1122,941,1215,1333,989,1467,1206,951,1597,1367,1450,1265,1484,1421,1327,1506,1571,1520,932,1214,1202,902,952,804,650,500,525,550,NA
"Vietnam","(R/A)",1310,1438,2340,3020,3632,3970,5752,6979,7052,11631,14841,13093,11574,15337,14370,13842,19340,16405,18438,17825,20000,26500,23402,27610,26500,28737,25540,29500,NA
"Yemen","(A)",NA,NA,NA,NA,NA,NA,NA,NA,69,61,64,62,57,193,206,203,207,198,220,135,161,185,188,187,183,171,173,175,NA
